Index,Number
0,10101010100000111111100110111111000100101101010000100111100100010001001100100000011101010010000000110101110110101100101011100001
1,10110011001010110011100010010110001010010101010001000110001001101101001101001010000000100011011010110111011100010111101101111100
2,01100010011011101101111101000010000111100100000010110100011010101110010000001001001101110101011110011110000000111110000011100111
3,01001000001101011101101100101110001010110011100001111001110001101100111010000111001011111100010011011001001010100001100111111111
4,11101010110100100101101110110001010001100111110110011011000110001010011011101000010111001110110101000111101111110011110011101110
5,01100011010010000101010010110010111100000111010101111000001101101111011001011101100110100111011100001101001100001011110101000000
6,01001101100111111110110011111101001011110110010101111011100111010101011000011010000110101001100001001001001101010100000111101010
7,00000111011100110010100100011000100011011100001010001110111001111000110001000100101111011101100110001001110111101111110111000010
8,11100000100111011100111011100001001001001100001010110101110000101111000111011110011011001110110000000011010001010001001101100000
9,11100101001110011100101100100100011011111011111110110010010011010001100010111110011000001110011101000010010101100110001100001010
10,01101001010100001001100000110101111100000010010111111111100001000011110111000011001011111100010110001010011001110010110101000110
11,10010001110101011000000111001100010011110010001011110111001101111000100011100101001110001000110100100110110110000101101011101101
12,01110110101010100000011000101100100110101110011001111110010011110010111011011011001100101101100000101001101100111111101010111101
13,10100001000000110101000010110000011010100011011000001110110100011100001001011100110011010100000011001110000101100011011011110111
14,00100110110001011101101110001100011011011010111000011001101011001001110101101110111010101111101011001000011010110011011011110111
15,00010001110101010011101111001111110000110101010111010000010111011101001101011111011101110110100111011010010010011101010101101101
16,11101101101010110000101110000101110011110100001000101110111100010000100011010011100111010110001110101110010000011001011111000000
17,10001100101010001010000011101101110011100000101111111110001101100001011101111001001110111110010100101001111110101001101101000001
18,11110101100101000010011011111101000010011100000111001101010110011101101110100111010100001000111111000010001001011110011101111100
19,11000100001111100000100001000101010010111110001101011100000011110011000111110111000011011101101010101100010101001000001110011000
20,00001110001111101000000110110111110011000011111010100010101010110110110110001111010000111011100110100111011000000010111011000101
21,10010110001001111111101111100101111001111010000011001100111111010000110000101101001100010010110101100001100001000000011001000000
22,01011010110100001111111001110111100011101111001101101101100101000111100101000000010011100010010001111111000001010001111000010101
23,00100000101101001011100010111100011011110111111000001100010011011001110001000001001010010110110111000100010100000111011001110001
24,11001010100111010010000100010100001001111000000011001111011010000001011010010101001011111011110001100111111011011011010111111111
25,10001010110011001111100001110110010011011011101100101011010011110111110100010001011110001101010010110111111001101001010110101100
26,01100101100100000111101100010111100010010101110010000001110001001101010101011011100001101010110110100000101111000010000100010011
27,11000000111010110000011001001111101100011100100000010001011101101000010100100110101001100101010111011101111011111111011100011111
28,00011000100101100101001001011011001100110100000101010110100100111010010111000110011011010101001011100001001010001111110000001011
29,00111000100110010100000100101100001001001011110010010111001010001011010000011100011110011101010111101011110011111001011111101011
30,00110100011000101011000010001001001101100110010101110001111001010010101000100010101011011010011001111011000011010010001101011100
31,00010110100010101011001001000101011010001111000011111011110011001000101110010110100001101010011001100011000011010000011111111000
32,11100101110010101101111001101100011010010010000010111000011011100100111011111111110101100000100001101111010111100011100011001001
33,01000001100010110010101001101110011011000000001011100010101010110110000111110000100111111101011100111111011000010110000100101011
34,01100000101001011111101111011111010010110011000011010011001010000000000001111000001111100001110001010101010001010101001000010111
35,10100000001001100011000001000000001100101100111100010010001001011100111100000011110110100101100111000010111111000101001000010000
36,01111101001011100001010010110001110000000110111010011101000010101010111100011011000011110110010110010101101010101100111110000000
37,11010100001101110001110011010110011011011000110010100011100110011111101001001111100110101001111101010100000011000110000110100001
38,11000111000100000101110000110011100000001000011111101100100100010011101101000111100110111100001011100110011110000111001110011111
39,11000000001010010001101100001000011011100111001111110000000101100001011100000111001101001110110100001011110000000000100001111111
40,11111111011111001011010001001100100101010100110011110110001111001101010011000101101100010010010101011011100000101000101010001100
41,10000101000000000001000010000011101001010010011100010100011100001110001000011110111101001111110001001111011100110100100101111011
42,01011110101111100100110000000110110011001110001101110101010100010011111011001010011001101110001101101100100010111100000011001011
43,11110101111110000011011010100101001110010111010101100100010110111100000100000111110001110000111110000111110010001010001011101110
44,01100110001110001000010011011110111000100100011101111010110000100101101110111001110001101111101011000011011011001011011001001101
45,00011101010101100001011101001001000100010000010001110010110110000101110110100011100001011101100110011100100110100101001101100000
46,11011001010000110001111010001101010010011101101100101011010010010111001111000101010110011011011111101000101111000111100111000100
47,10011001001101000101101111100010101011011011100011101101100000100011100010101001010110001111101100010001101110001111110011001111
48,00000000111110011100010010101001101001010101000001011001110010110000110010001010011000001111100111100011011000011111011001001001
49,00101010101000010001010110100100000100110001011101011000101101110101011011101101000001101010010001000101110000110100000111100000
50,10110010101001111011111001000100010000011111111001110111100000111010010111001010110111110000010100010000111010101111010010100001
51,11011111011110110100001111001111000110100111110011110111100100000011000110111101011000100011100000011110000011011001011010101110
52,11101100000100001101110000100101001111011101100011010010011001000010110010100000100101100101101110001101011100011010010010111010
53,11111011101010011110001100101010000001110100111100000000001110010110111111010110111111001000111001011110111100000110101010100100
54,01011001000100101111111110001001101011001110010101111110111000010011111100001111010101000100101110001110010110001000000011101100
55,01001011010010001101110000101111100010010010111111001001111100001011110000010010100110101001111000001010001011110111100110010011
56,10010111011000001101100111100011110011000110001110111011010001100110110110101010110001110111110100011011001100000111001111000010
57,00011010000010110100111000011110010100100100111000011110000111001001011101110110111001110100000010011001001011010110010001111001
58,11110110100001001000000000001010001010001111001011010000100101001011011110010010100101010011101010111011110010110011011110111010
59,10011110111000100000001011011110001000111101100100011010100001011011100100100111000110111100010010010001011000010001000000110010
60,11000101001101111110110001100001010110101011001111110001010111100100110101001001010011000100001110011001001110110011111011101101
61,10011001011110000010111100100010101000110110111011100110111011110111100011011100010000001010001110011010101000110101001101001010
62,00011000101010001110110111010011111001010001011111000011110110010101100010000000001011100010000010000100111010100010011001110010
63,11100101001110111101101000011011100101000100011111101000111010000110101101111011111110011111001101110010001100111110011101110111
64,00100011101011000101100011111111110100111001000001110001010011110111101110000000010000110110101011100111100010110101011001100111
